L4 | Wed Feb 18 08:06:16 2026 (319 ms) | general | exiting: calling SDL_Quit()

L4 | Wed Feb 18 08:06:16 2026 (455 ms) | general | exiting: Done.

L4 | Fri Feb 20 14:16:15 2026 (949 ms) | general | New game starting up
L4 | Fri Feb 20 14:16:15 2026 (949 ms) | general | Target game image size:  1280x720

L4 | Fri Feb 20 14:16:15 2026 (950 ms) | general | Ideal window dimensions:  1280x720

L4 | Fri Feb 20 14:16:15 2026 (950 ms) | general | Trying to start in window mode.
L4 | Fri Feb 20 14:16:15 2026 (950 ms) | general | Want to use largest window that fits on screen.
L4 | Fri Feb 20 14:16:15 2026 (950 ms) | general | Screen dimensions for largest-window mode:  1280x720

L4 | Fri Feb 20 14:16:15 2026 (951 ms) | general | The following frame rates are considered possible:
L4 | Fri Feb 20 14:16:15 2026 (951 ms) | general | 30 fps
L4 | Fri Feb 20 14:16:15 2026 (951 ms) | general | 60 fps
L4 | Fri Feb 20 14:16:15 2026 (951 ms) | general | 100 fps
L4 | Fri Feb 20 14:16:15 2026 (951 ms) | general | 120 fps
L4 | Fri Feb 20 14:16:15 2026 (951 ms) | general | 144 fps
L4 | Fri Feb 20 14:16:15 2026 (951 ms) | general | 165 fps
L4 | Fri Feb 20 14:16:15 2026 (953 ms) | general | Constructing ScreenGL with requested 1280x720, 60 fps, fullscreen(0)
L4 | Fri Feb 20 14:16:15 2026 (954 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Fri Feb 20 14:16:15 2026 (954 ms) | general | All resolutions available
L4 | Fri Feb 20 14:16:16 2026 (78 ms) | general | ScreenGL gave us 1280x720, 60 fps
L4 | Fri Feb 20 14:16:16 2026 (78 ms) | general | Setting integer-scaled screen image size of 1280x720
L4 | Fri Feb 20 14:16:16 2026 (110 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Fri Feb 20 14:16:16 2026 (193 ms) | general | setViewSize called with 1280.000000
L4 | Fri Feb 20 14:16:16 2026 (203 ms) | general | setViewSize called with 1280.000000
L4 | Fri Feb 20 14:18:28 2026 (865 ms) | general | exiting...

L4 | Fri Feb 20 14:18:28 2026 (865 ms) | general | exiting: calling SDL_CloseAudio

L4 | Fri Feb 20 14:18:28 2026 (906 ms) | general | exiting: Deleting sceneHandler

L4 | Fri Feb 20 14:18:28 2026 (906 ms) | general | Freeing sound sprites

L4 | Fri Feb 20 14:18:28 2026 (915 ms) | general | exiting: freeing frameDrawer

L4 | Fri Feb 20 14:18:29 2026 (51 ms) | general | exiting: Deleting screen

L4 | Fri Feb 20 14:18:29 2026 (51 ms) | general | exiting: freeing drawString

L4 | Fri Feb 20 14:18:29 2026 (52 ms) | general | exiting: calling SDL_Quit()

L4 | Fri Feb 20 14:18:29 2026 (131 ms) | general | exiting: Done.

L4 | Fri Feb 20 14:19:35 2026 (979 ms) | general | New game starting up
L4 | Fri Feb 20 14:19:35 2026 (979 ms) | general | Target game image size:  1280x720

L4 | Fri Feb 20 14:19:35 2026 (979 ms) | general | Ideal window dimensions:  1280x720

L4 | Fri Feb 20 14:19:35 2026 (980 ms) | general | Trying to start in window mode.
L4 | Fri Feb 20 14:19:35 2026 (980 ms) | general | Want to use largest window that fits on screen.
L4 | Fri Feb 20 14:19:35 2026 (980 ms) | general | Screen dimensions for largest-window mode:  1280x720

L4 | Fri Feb 20 14:19:35 2026 (980 ms) | general | The following frame rates are considered possible:
L4 | Fri Feb 20 14:19:35 2026 (980 ms) | general | 30 fps
L4 | Fri Feb 20 14:19:35 2026 (980 ms) | general | 60 fps
L4 | Fri Feb 20 14:19:35 2026 (980 ms) | general | 100 fps
L4 | Fri Feb 20 14:19:35 2026 (980 ms) | general | 120 fps
L4 | Fri Feb 20 14:19:35 2026 (980 ms) | general | 144 fps
L4 | Fri Feb 20 14:19:35 2026 (980 ms) | general | 165 fps
L4 | Fri Feb 20 14:19:35 2026 (982 ms) | general | Constructing ScreenGL with requested 1280x720, 60 fps, fullscreen(0)
L4 | Fri Feb 20 14:19:35 2026 (983 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Fri Feb 20 14:19:35 2026 (983 ms) | general | All resolutions available
L4 | Fri Feb 20 14:19:36 2026 (89 ms) | general | ScreenGL gave us 1280x720, 60 fps
L4 | Fri Feb 20 14:19:36 2026 (89 ms) | general | Setting integer-scaled screen image size of 1280x720
L4 | Fri Feb 20 14:19:36 2026 (122 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Fri Feb 20 14:19:36 2026 (192 ms) | general | setViewSize called with 1280.000000
L4 | Fri Feb 20 14:19:36 2026 (201 ms) | general | setViewSize called with 1280.000000
L4 | Fri Feb 20 14:28:25 2026 (683 ms) | general | exiting...

L4 | Fri Feb 20 14:28:25 2026 (683 ms) | general | exiting: calling SDL_CloseAudio

